"timestamp","skill_excel","skill_r","skill_stat","int214_level","int214_att","std_ready","music_genres","salary","sec","gender","birthday","program"
"5/8/2021, 0:57:41","Occasionally","Never used","Level 0","5","5","5","Pop, Rock, R&B","80000","Sec B","female","27/9/2001","Arts-Math"
"4/8/2021, 23:45:05","Occasionally","Never used","Level 1","3","3","3","Pop, Rock, R&B, Rap","25000","Sec A","LGBTQ+","20/5/2002","Arts-Math"
"9/8/2021, 13:09:46","Occasionally","Occasionally","Level 2","3","4","4","R&B, Rap","40000","Sec A","male","31/8/2001","Sci-Math"
"4/8/2021, 19:08:00","Occasionally","Never used","Level 2","2","5","5","Pop, Musical, Classic","35000","Sec B","female","7/5/2002","Sci-Math"
"4/8/2021, 19:22:13","Occasionally","Never used","Level 1","3","4","3","Pop, R&B, Jazz","40000","Sec A","female","12/8/2001","Sci-Math"
"4/8/2021, 21:44:49","Occasionally","Never used","Level 1","4","3","3","Pop, R&B, Rap","30000","Sec B","female","21/4/2002","Sci-Math"
"4/8/2021, 19:12:32","Never used","Never used","Level 1","5","2","2","Pop, R&B","45000","Sec A","female","12/2/2002","Sci-Math"
"4/8/2021, 21:58:49","Never used","Never used","Level 0","4","5","5","Pop, R&B, Classic","20000","Sec A","female","10/7/2001","Sci-Math"
"4/8/2021, 22:12:04","Never used","Never used","Level 1","4","4","3","Pop, Rock, R&B, ชอบทุกเเนวเเค่ได้ฟังกับเธอ;_;","30000","Sec A","female","18/2/2002","Sci-Math"
"4/8/2021, 22:08:45","Occasionally","Never used","Level 1","4","3","4","Pop, Rock, R&B, Rap","30000","Sec B","female","18/10/2001","Sci-Math"
"5/8/2021, 0:01:57","Occasionally","Never used","Level 0","3","4","5","Pop","35000","Sec B","female","29/10/2001","Sci-Math"
"5/8/2021, 1:33:24","Occasionally","Never used","Level 0","4","4","4","Pop","30000","Sec A","female","10/10/2001","Sci-Math"
"5/8/2021, 12:12:18","Occasionally","Never used","Level 0","5","4","4","Pop, R&B, ลูกทุ่ง","20000","Sec B","female","4/12/2001","Sci-Math"
"7/8/2021, 22:59:24","Occasionally","Never used","Level 1","5","4","4","Pop, R&B, ลูกทุ่ง","30000","Sec B","female","25/5/2545","Sci-Math"
"16/8/2021, 21:35:57","Occasionally","Never used","Level 1","5","3","4","Pop, R&B, ลูกทุ่ง, Rap","100000","Sec B","female","18/2/2002","Sci-Math"
"4/8/2021, 23:20:51","Occasionally","Never used","Level 1","4","4","3","Pop, Rock","30000","Sec A","null","29/1/2001","Sci-Math"
"13/8/2021, 11:32:56","Occasionally","Never used","Level 1","3","4","3","Pop, R&B","30000","Sec B","female","23/5/2001","Sci-Math"
"4/8/2021, 19:58:01","Occasionally","Never used","Level 0","5","3","4","Pop, Rock, Classic, EDM","100000","Sec A","male","5/3/2002","Sci-Math"
"4/8/2021, 20:27:32","Occasionally","Never used","Level 1","5","4","4","Pop, Rock, R&B, Classic","20000","Sec A","male","4/5/2001","Sci-Math"
"4/8/2021, 20:28:06","Occasionally","Never used","Level 3","2","5","4","เพลงเศร้า","30000","Sec B","male","6/4/2001","Sci-Math"
"4/8/2021, 20:34:03","Occasionally","Never used","Level 1","3","5","5","Pop, Musical, Classic","30000","Sec B","male","30/4/2002","Sci-Math"
"4/8/2021, 23:14:32","Occasionally","Never used","Level 1","4","3","3","Pop, Rock, Rap, Classic","20000","Sec B","male","6/9/2001","Sci-Math"
"4/8/2021, 23:26:17","Occasionally","Never used","Level 1","4","4","3","Pop, R&B","30000","Sec A","male","21/7/2002","Sci-Math"
"4/8/2021, 23:31:46","Occasionally","Never used","Level 1","3","3","3","Pop, R&B, Rap","30000","Sec A","male","3/7/2544","Sci-Math"
"4/8/2021, 19:12:06","Never used","Never used","Level 1","3","3","3","Pop, Rock, Jazz","15000","Sec A","male","11/9/2001","Sci-Math"
"5/8/2021, 16:50:33","Never used","Never used","Level 0","5","3","2","Pop, R&B, Rap","30000","Sec A","male","4/4/2001","Sci-Math"
"5/8/2021, 17:14:57","Never used","Never used","Level 1","4","3","3","Pop, Rock, R&B, Rap","28000","Sec A","male","17/7/2001","Sci-Math"
"5/8/2021, 9:08:23","Usually","Never used","Level 3","1","5","5","Musical, Classic","20000","Sec B","male","2/1/2001","Sci-Math"
"14/8/2021, 11:37:14","Occasionally","Never used","Level 0","3","2","3","Pop, Classic, Jazz","30000","Sec B","female","17/3/2002","Sci-Math"
"16/8/2021, 16:40:29","Occasionally","Never used","Level 1","3","4","4","Pop","30000","Sec A","female","25/12/2001","Sci-Math"
"4/8/2021, 18:40:47","Occasionally","Never used","Level 2","4","5","5","Pop, Classic, Indy ","25000","Sec B","male","13/6/2001","Sci-Math"
"4/8/2021, 18:45:21","Occasionally","Never used","Level 2","4","5","2","Pop, Rap, Jazz, Anime and Japanese","25000","Sec A","male","10/4/2002","Sci-Math"
"4/8/2021, 18:48:20","Occasionally","Never used","Level 0","4","4","3","R&B, Rap","16000","Sec A","male","19/6/2001","Sci-Math"
"8/8/2021, 23:30:55","Never used","Never used","Level 1","5","4","4","Pop, R&B, Rap, Jazz","35000","Sec A","male","30/3/2002","Arts-Math"
"9/8/2021, 10:41:15","Never used","Never used","Level 1","3","3","3","Pop, R&B, Rap","100000","Sec A","male","18/2/2002","Arts-Math"
"7/8/2021, 21:49:11","Usually","Never used","Level 1","2","3","2","Pop, R&B, Classic, Jazz","200000","Sec B","LGBTQ+","22/8/2001","Sci-Math"
"5/8/2021, 12:41:56","Occasionally","Never used","Level 0","5","4","3","Pop, Kpop","25000","Sec B","female","21/5/2002","Sci-Math"
"5/8/2021, 12:47:20","Occasionally","Never used","Level 0","4","2","2","Pop, Indie","28000","Sec B","female","13/9/2001","Sci-Math"
"5/8/2021, 12:55:26","Never used","Never used","Level 0","4","3","3","Pop, k-pop, Indie","27000","Sec B","female","10/1/2544","Sci-Math"
"7/8/2021, 0:11:24","Never used","Never used","Level 0","5","2","3","Pop, R&B","30000","Sec B","female","2/2/2002","Sci-Math"
"7/8/2021, 21:22:24","Never used","Never used","Level 0","4","3","3","Pop, Rock, Musical, hip hop,Electronic","25000","Sec A","female","23/12/2001","Sci-Math"
"6/8/2021, 20:11:52","Never used","Never used","Level 1","5","2","3","Pop, Rock, R&B","25000","Sec B","male","30/6/2001","Sci-Math"
"6/8/2021, 21:16:15","Never used","Never used","Level 0","4","5","4","ลูกทุ่ง","9000","Sec A","male","3/8/2001","Sci-Math"
"8/8/2021, 0:49:25","Never used","Never used","Level 1","5","3","2","Pop, Rock, Rap, Classic","25000","Sec B","male","7/4/2002","Sci-Math"
"8/8/2021, 20:13:32","Never used","Never used","Level 1","3","3","2","Pop, R&B","30000","Sec A","male","7/6/2001","Sci-Math"
"8/8/2021, 20:42:07","Never used","Never used","Level 0","5","3","2","Pop, R&B","20000","Sec A","male","17/10/2001","Sci-Math"
"9/8/2021, 10:53:08","Never used","Never used","Level 0","4","3","2","","60000","Sec B","male","5/11/2000","Sci-Math"
"9/8/2021, 12:59:55","Never used","Never used","Level 1","4","3","3","Pop, R&B, Rap","20000","Sec A","male","5/10/2001","Sci-Math"
"5/8/2021, 13:42:28","Occasionally","Never used","Level 1","3","3","4","Pop, R&B, Koop","50000","Sec A","female","12/1/2545","Sci-Math"
"5/8/2021, 19:32:48","Occasionally","Never used","Level 0","5","3","2","Pop, R&B, Hip hop, pop rap","50000","Sec B","female","30/12/2000","Sci-Math"
"5/8/2021, 22:44:04","Occasionally","Never used","Level 0","5","5","5","Pop, ลูกทุ่ง","35000","Sec A","female","31/5/2001","Sci-Math"
"6/8/2021, 11:41:40","Occasionally","Never used","Level 3","3","5","5","ญี่ปุ่น การ์ตูน อนิเมะ","60000","Sec B","female","24/9/2021","Sci-Math"
"6/8/2021, 14:01:21","Occasionally","Never used","Level 2","4","4","4","Pop, R&B, Classic","20000","Sec A","female","16/9/2001","Sci-Math"
"6/8/2021, 16:17:43","Occasionally","Never used","Level 1","4","3","4","Pop, R&B","20000","Sec A","female","5/11/2001","Sci-Math"
"9/8/2021, 12:19:24","Never used","Never used","Level 0","5","3","1","Pop, R&B, ลูกทุ่ง, Rap","25000","Sec A","female","19/1/2002","Arts-Math"
"9/8/2021, 13:22:21","Never used","Never used","Level 1","5","3","3","Pop, R&B, Rap, Classic","30000","Sec A","male","25/9/2001","Arts-Math"
"8/8/2021, 20:42:17","Occasionally","Never used","Level 0","4","1","1","Pop","30000","Sec A","female","8/2/2002","Arts-Math"
"9/8/2021, 10:46:33","Never used","Never used","Level 0","5","3","3","Pop","30000","Sec A","female","9/10/2544","Sci-Math"
"8/8/2021, 21:58:34","Never used","Never used","Level 0","4","4","2","Pop, Rock, R&B, pop rock,Electronic,groove,jazz","30000","Sec A","null","31/5/2001","Sci-Math"
"8/8/2021, 20:21:25","Occasionally","Never used","Level 1","3","4","4","Pop, R&B, Jazz","20000","Sec A","female","8/5/2002","Sci-Math"
"8/8/2021, 20:32:08","Occasionally","Never used","Level 0","4","3","4","Pop, R&B, Classic","30000","Sec B","female","15/8/2001","Sci-Math"
"8/8/2021, 22:21:49","Occasionally","Never used","Level 0","3","3","5","R&B, Rap","20000","Sec B","female","30/10/2001","Sci-Math"
"9/8/2021, 2:09:59","Occasionally","Never used","Level 0","3","3","3","R&B, Rap","50000","Sec A","female","18/10/2544","Sci-Math"
"9/8/2021, 10:30:04","Occasionally","Never used","Level 1","5","4","2","Pop, R&B, Rap","60000","Sec A","female","13/6/2001","Sci-Math"
"13/8/2021, 11:19:58","Never used","Never used","Level 0","5","2","2","R&B, Rap","26000","Sec B","female","24/9/2544","Arts-Math"
"6/8/2021, 21:10:10","Occasionally","Never used","Level 1","4","5","1","Pop, R&B, Musical","30000","Sec A","female","3/10/2002","Arts-Math"
"7/8/2021, 0:52:07","Occasionally","Never used","Level 1","4","4","2","Pop, R&B, Rap, acoustic","35000","Sec A","female","20/11/2001","Arts-Math"
"6/8/2021, 21:11:46","Occasionally","Never used","Level 1","5","2","2","Pop, R&B, Rap","17000","Sec B","LGBTQ+","25/12/2001","Arts-Math"
"4/8/2021, 20:43:59","Occasionally","Occasionally","Level 1","4","4","3","Pop, R&B","18000","Sec A","male","21/1/2001","Sci-Math"
"13/8/2021, 11:24:49","Never used","Never used","Level 0","5","2","2","Pop, Rock, R&B, Rap","60000","Sec B","female","15/6/2001","Sci-Math"
"6/8/2021, 22:41:15","Occasionally","Never used","Level 1","4","2","3","Pop, R&B, Rap","18000","Sec A","female","31/3/2002","Sci-Math"
"6/8/2021, 2:28:08","Occasionally","Never used","Level 1","3","5","5","Pop, Classic, EDM","35000","Sec A","LGBTQ+","25/11/2001","Sci-Math"
"7/8/2021, 1:03:41","Occasionally","Never used","Level 0","4","2","3","Pop, Rap","40000","Sec A","null","17/9/2001","Sci-Math"
"7/8/2021, 1:08:49","Occasionally","Never used","Level 1","4","4","4","Pop, R&B, ลูกทุ่ง","40000","Sec B","null","29/8/2002","Sci-Math"
"9/8/2021, 10:30:40","Occasionally","Never used","Level 1","4","4","3","Pop, R&B, Rap","30000","Sec A","female","17/6/2001","Sci-Math"
"9/8/2021, 10:47:34","Occasionally","Never used","Level 0","4","3","3","Pop, Musical, Classic, Jazz","35000","Sec B","female","18/10/2001","Sci-Math"
"8/8/2021, 20:00:38","Occasionally","Never used","Level 0","4","4","5","Pop, R&B","25000","Sec B","LGBTQ+","12/3/2001","Sci-Math"
"9/8/2021, 11:02:55","Occasionally","Never used","Level 0","5","4","4","Pop","40000","Sec A","null","26/5/2001","Sci-Math"
"13/8/2021, 11:21:56","Occasionally","Never used","Level 1","5","4","3","Pop, R&B","18000","Sec B","female","21/6/2001","Sci-Math"
"9/8/2021, 12:26:50","Occasionally","Never used","Level 1","5","3","2","Pop, Rock, R&B, Jazz","30000","Sec A","male","18/9/2001","Arts-Math"
"9/8/2021, 13:26:13","Occasionally","Never used","Level 1","2","3","4","R&B","70000","Sec A","male","18/10/2001","Arts-Math"
"4/8/2021, 18:56:17","Occasionally","Never used","Level 2","4","3","4","R&B, Classic, Jazz, Blues","30000","Sec B","male","17/11/2001","Arts-Math"
"4/8/2021, 18:59:29","Occasionally","Never used","Level 2","3","5","4","Pop, Rock, Rap","40000","Sec B","male","1/1/2002","Arts-Math"
"4/8/2021, 19:49:37","Occasionally","Never used","Level 3","2","5","5","Pop, Rock","20000","Sec B","male","10/10/2001","Arts-Math"
"4/8/2021, 20:24:28","Occasionally","Never used","Level 0","4","2","3","Pop, Rock, Classic","15000","Sec A","male","12/9/2001","Arts-Math"
"4/8/2021, 20:24:11","Never used","Never used","Level 1","5","4","5","JPAN,KPOP","35000","Sec A","male","29/7/2001","Arts-Math"
"4/8/2021, 18:34:26","Usually","Occasionally","Level 2","2","5","5","Rock, Classic, metal, hiphop 90s","30000","Sec A","male","7/1/2002","Sci-Math"
"9/8/2021, 11:40:51","Occasionally","Never used","Level 2","5","5","5","Pop, Rap, Classic","100000","Sec B","male","6/6/1998","Sci-Math"
"9/8/2021, 12:57:17","Occasionally","Never used","Level 0","5","4","3","Pop, R&B, Classic, Jazz","30000","Sec A","male","18/8/2001","Sci-Math"
"9/8/2021, 12:58:48","Occasionally","Never used","Level 1","5","3","3","Pop, R&B, Rap","50000","Sec A","male","7/11/2001","Sci-Math"
"9/8/2021, 12:58:51","Occasionally","Never used","Level 0","1","5","5","Classic","100000","Sec A","male","1/8/2001","Sci-Math"
"9/8/2021, 13:03:47","Occasionally","Never used","Level 1","3","5","3","Pop, R&B, Musical","50000","Sec A","male","8/1/2002","Sci-Math"
"9/8/2021, 13:08:12","Occasionally","Never used","Level 2","3","4","4","Pop, Rap, Musical","35000","Sec A","male","4/4/2002","Sci-Math"
"9/8/2021, 13:11:08","Occasionally","Never used","Level 0","5","3","3","Pop, Classic, Jazz, Anime Song","35000","Sec A","male","5/1/2002","Sci-Math"
"9/8/2021, 16:37:08","Occasionally","Never used","Level 0","5","3","3","Pop","30000","Sec A","male","16/7/2001","Sci-Math"
"11/8/2021, 9:34:03","Occasionally","Never used","Level 1","5","4","4","Pop, R&B, ลูกทุ่ง","30000","Sec B","female","25/5/2545","Sci-Math"
"7/8/2021, 10:49:35","Occasionally","Never used","Level 1","4","5","5","Pop, Rock, Classic","20000","Sec B","male","25/8/2001","Arts-Math"
"7/8/2021, 13:26:51","Occasionally","Never used","Level 1","4","4","4","Rock, Classic","50000","Sec A","male","27/5/2001","Arts-Math"
"8/8/2021, 16:30:59","Occasionally","Never used","Level 1","3","3","3","Pop","28000","Sec A","male","25/1/2002","Arts-Math"
"8/8/2021, 20:14:11","Usually","Never used","Level 2","3","3","4","Pop, Rock, Classic, Alternative / Indie","25000","Sec B","male","4/11/2002","Sci-Math"
"7/8/2021, 12:10:45","Occasionally","Never used","Level 2","4","3","2","Pop, Rock, R&B, Rap","20000","Sec A","male","31/3/2002","Sci-Math"
"8/8/2021, 10:54:29","Occasionally","Never used","Level 1","4","5","5","R&B","30000","Sec B","male","14/8/2544","Sci-Math"
"8/8/2021, 11:26:04","Occasionally","Never used","Level 1","3","3","2","Pop, Rock","20000","Sec A","male","15/11/2001","Sci-Math"
"8/8/2021, 11:59:16","Occasionally","Never used","Level 1","3","3","3","Pop","40000","Sec A","male","16/11/2001","Sci-Math"
"8/8/2021, 12:35:32","Occasionally","Never used","Level 1","3","4","4","Pop, Rock","20000","Sec B","male","","Sci-Math"
"8/8/2021, 20:22:50","Occasionally","Never used","Level 0","5","3","1","Musical, Classic, Jazz","20000","Sec B","male","11/3/2002","Sci-Math"
"9/8/2021, 9:06:42","Occasionally","Never used","Level 1","4","3","4","R&B, Rap","20000","Sec A","male","9/6/2002","Arts-Math"
"9/8/2021, 13:28:15","Occasionally","Never used","Level 1","3","4","3","Pop, R&B, Rap, Classic","30000","Sec A","male","18/12/2544","Arts-Math"
"9/8/2021, 13:28:25","Occasionally","Never used","Level 2","3","3","3","Classic","100000","Sec A","male","7/8/2001","Arts-Math"
"12/8/2021, 23:54:23","Never used","Never used","Level 0","2","2","2","Pop","22000","Sec B","male","19/3/2002","Sci-Math"
"13/8/2021, 11:20:08","Never used","Never used","Level 1","4","4","3","Rock, แนวเก่าๆ","19000","Sec B","male","21/8/2001","Sci-Math"
"5/8/2021, 0:04:04","Occasionally","Never used","Level 1","5","3","3","R&B, Musical, Classic, Jazz","30000","Sec B","male","19/11/2001","Sci-Math"
"5/8/2021, 8:48:37","Occasionally","Never used","Level 2","4","3","4","Pop, Classic","35000","Sec B","male","20/12/2001","Sci-Math"
"5/8/2021, 12:28:56","Occasionally","Never used","Level 1","4","3","3","Pop","25000","Sec B","male","15/11/2021","Sci-Math"
"6/8/2021, 0:28:14","Occasionally","Never used","Level 1","4","3","4","R&B","20000","Sec B","male","5/11/2545","Sci-Math"
"6/8/2021, 21:05:00","Occasionally","Never used","Level 1","5","5","3","Pop, ลูกทุ่ง, Classic, Jazz","40000","Sec A","male","5/6/2001","Sci-Math"
"7/8/2021, 5:29:36","Occasionally","Never used","Level 1","4","4","4","Pop, Rock, Musical, Classic","25000","Sec B","male","14/2/2002","Sci-Math"
"14/8/2021, 11:38:21","Occasionally","Never used","Level 1","4","3","4","Rock","40000","Sec B","null","","Sci-Math"
"8/8/2021, 20:56:18","Occasionally","Never used","Level 1","4","5","5","Pop, R&B, ลูกทุ่ง, Rap","200000","Sec A","male","24/9/2001","Sci-Math"
"8/8/2021, 20:58:09","Occasionally","Never used","Level 0","4","5","5","Pop, Rock, Rap","50000","Sec B","male","12/9/2001","Sci-Math"
"8/8/2021, 23:46:26","Occasionally","Never used","Level 1","3","5","4","Pop, Rock, R&B, Rap","30000","Sec A","male","25/5/2001","Sci-Math"
"9/8/2021, 4:30:45","Occasionally","Never used","Level 2","3","4","5","Pop, Rock, Classic, Jazz","20000","Sec A","male","22/10/2001","Sci-Math"
"9/8/2021, 10:54:31","Occasionally","Never used","Level 1","3","4","3","Pop, Musical","30000","Sec B","male","23/5/2002","Sci-Math"
"9/8/2021, 11:11:01","Occasionally","Never used","Level 0","5","2","4","Pop","20000","Sec A","male","15/6/2002","Sci-Math"
"9/8/2021, 13:27:14","Occasionally","Never used","Level 1","3","4","3","Rock","30000","Sec B","male","28/2/2002","Sci-Math"
"9/8/2021, 10:39:57","Occasionally","Never used","Level 0","4","3","3","Pop","50000","Sec B","male","28/11/2001","Sahasilp"
"13/8/2021, 11:31:46","Occasionally","Never used","Level 0","4","5","3","Pop, Rock, R&B, Rap","50000","Sec B","male","5/6/2001","Arts-Math"
"12/8/2021, 20:47:54","Occasionally","Never used","Level 1","4","4","4","Rock, R&B","30000","Sec B","male","26/1/2002","Sci-Math"
"13/8/2021, 1:48:18","Occasionally","Never used","Level 0","3","3","5","Pop, R&B, Classic, Jazz","10000000","Sec B","male","11/1/2000","Sci-Math"
"13/8/2021, 1:54:40","Occasionally","Never used","Level 0","5","3","5","Pop, Rock, R&B, Rap","50000","Sec B","male","4/12/2001","Sci-Math"
"13/8/2021, 4:21:51","Occasionally","Never used","Level 1","4","3","3","Pop, Musical, Classic","30000","Sec B","male","9/5/2002","Sci-Math"
"13/8/2021, 11:19:34","Occasionally","Never used","Level 1","3","4","4","Pop, Rap, folk","100000","Sec B","male","3/12/2001","Sci-Math"
"13/8/2021, 11:20:13","Occasionally","Never used","Level 1","3","4","4","ระบุแนวไม่ได้คับแล้วแต่moodช่วงนั้น ๆ เพราะเปลี่ยนแนวไปเรื่อยๆตลอด","25000","Sec B","male","5/11/2002","Sci-Math"
"13/8/2021, 11:20:18","Occasionally","Never used","Level 1","3","4","3","Pop, Rock","30000","Sec B","male","20/6/2001","Sci-Math"
"13/8/2021, 11:20:20","Occasionally","Never used","Level 1","4","5","4","Pop","20000","Sec B","male","29/7/2002","Sci-Math"
"13/8/2021, 11:23:27","Occasionally","Never used","Level 1","3","3","4","Pop, R&B","25000","Sec B","male","13/5/2002","Sci-Math"
"13/8/2021, 11:24:34","Occasionally","Never used","Level 2","3","3","4","Pop, R&B, Rap, Jazz","35000","Sec B","male","30/10/2001","Sci-Math"
"13/8/2021, 11:28:53","Occasionally","Never used","Level 1","3","3","4","","18000","Sec B","male","23/6/2001","Sci-Math"
"13/8/2021, 13:08:19","Occasionally","Never used","Level 1","3","3","3","Pop, R&B, Rap, Classic","60000","Sec B","male","19/9/2002","Sci-Math"
"16/8/2021, 0:49:21","Occasionally","Never used","Level 0","5","2","3","Pop, Classic","40000","Sec A","male","16/7/2001","Sci-Math"
